var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
0,x_j00_p250_s00,0,250,0,15,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
1,x_j00_p250_s01,0,250,1,16,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
2,x_j00_p250_s02,0,250,2,17,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
3,x_j00_p250_s03,0,250,3,18,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
4,x_j00_p250_s04,0,250,4,19,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
5,x_j00_p250_s05,0,250,5,20,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
6,x_j00_p250_s06,0,250,6,21,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
7,x_j00_p250_s07,0,250,7,22,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
8,x_j00_p250_s08,0,250,8,23,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
9,x_j00_p250_s09,0,250,9,24,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
10,x_j00_p300_s00,0,300,0,14,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
11,x_j00_p300_s01,0,300,1,15,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
12,x_j00_p300_s02,0,300,2,16,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
13,x_j00_p300_s03,0,300,3,17,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
14,x_j00_p300_s04,0,300,4,18,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
15,x_j00_p300_s05,0,300,5,19,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
16,x_j00_p300_s06,0,300,6,20,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
17,x_j00_p300_s07,0,300,7,21,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
18,x_j00_p300_s08,0,300,8,22,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
19,x_j00_p300_s09,0,300,9,23,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
20,x_j00_p300_s10,0,300,10,24,14,171.85,199.9300653594771,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
21,x_j00_p350_s00,0,350,0,13,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
22,x_j00_p350_s01,0,350,1,14,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
23,x_j00_p350_s02,0,350,2,15,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
24,x_j00_p350_s03,0,350,3,16,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
25,x_j00_p350_s04,0,350,4,17,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
26,x_j00_p350_s05,0,350,5,18,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
27,x_j00_p350_s06,0,350,6,19,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
28,x_j00_p350_s07,0,350,7,20,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
29,x_j00_p350_s08,0,350,8,21,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
30,x_j00_p350_s09,0,350,9,22,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
31,x_j00_p350_s10,0,350,10,23,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
32,x_j00_p350_s11,0,350,11,24,13,171.85,188.5142424242424,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
33,x_j00_p400_s00,0,400,0,12,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
34,x_j00_p400_s01,0,400,1,13,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
35,x_j00_p400_s02,0,400,2,14,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
36,x_j00_p400_s03,0,400,3,15,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
37,x_j00_p400_s04,0,400,4,16,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
38,x_j00_p400_s05,0,400,5,17,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
39,x_j00_p400_s06,0,400,6,18,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
40,x_j00_p400_s07,0,400,7,19,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
41,x_j00_p400_s08,0,400,8,20,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
42,x_j00_p400_s09,0,400,9,21,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
43,x_j00_p400_s10,0,400,10,22,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
44,x_j00_p400_s11,0,400,11,23,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
45,x_j00_p400_s12,0,400,12,24,12,171.85,171.85,1.0,8,0.3675694379147809,2.9405555033182473
46,x_j01_p250_s00,1,250,0,15,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
47,x_j01_p250_s01,1,250,1,16,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
48,x_j01_p250_s02,1,250,2,17,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
49,x_j01_p250_s03,1,250,3,18,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
50,x_j01_p250_s04,1,250,4,19,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
51,x_j01_p250_s05,1,250,5,20,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
52,x_j01_p250_s06,1,250,6,21,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
53,x_j01_p250_s07,1,250,7,22,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
54,x_j01_p250_s08,1,250,8,23,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
56,x_j01_p300_s00,1,300,0,14,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
57,x_j01_p300_s01,1,300,1,15,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
58,x_j01_p300_s02,1,300,2,16,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
59,x_j01_p300_s03,1,300,3,17,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
60,x_j01_p300_s04,1,300,4,18,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
61,x_j01_p300_s05,1,300,5,19,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
62,x_j01_p300_s06,1,300,6,20,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
63,x_j01_p300_s07,1,300,7,21,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
64,x_j01_p300_s08,1,300,8,22,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
65,x_j01_p300_s09,1,300,9,23,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
66,x_j01_p300_s10,1,300,10,24,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.28933040092053547,3.761295211966961
67,x_j01_p350_s00,1,350,0,13,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
68,x_j01_p350_s01,1,350,1,14,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
69,x_j01_p350_s02,1,350,2,15,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
70,x_j01_p350_s03,1,350,3,16,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
71,x_j01_p350_s04,1,350,4,17,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
72,x_j01_p350_s05,1,350,5,18,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
73,x_j01_p350_s06,1,350,6,19,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
74,x_j01_p350_s07,1,350,7,20,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
75,x_j01_p350_s08,1,350,8,21,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
76,x_j01_p350_s09,1,350,9,22,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
77,x_j01_p350_s10,1,350,10,23,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
78,x_j01_p350_s11,1,350,11,24,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.33096245080559017,4.302511860472672
79,x_j01_p400_s00,1,400,0,12,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
80,x_j01_p400_s01,1,400,1,13,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
81,x_j01_p400_s02,1,400,2,14,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
82,x_j01_p400_s03,1,400,3,15,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
83,x_j01_p400_s04,1,400,4,16,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
84,x_j01_p400_s05,1,400,5,17,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
85,x_j01_p400_s06,1,400,6,18,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
86,x_j01_p400_s07,1,400,7,19,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
87,x_j01_p400_s08,1,400,8,20,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
88,x_j01_p400_s09,1,400,9,21,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
89,x_j01_p400_s10,1,400,10,22,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
90,x_j01_p400_s11,1,400,11,23,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
91,x_j01_p400_s12,1,400,12,24,12,169.76666666666668,169.76666666666668,1.0,13,0.3675694379147809,4.778402692892152
92,x_j02_p250_s00,2,250,0,14,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
93,x_j02_p250_s01,2,250,1,15,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
94,x_j02_p250_s02,2,250,2,16,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
95,x_j02_p250_s03,2,250,3,17,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
96,x_j02_p250_s04,2,250,4,18,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
97,x_j02_p250_s05,2,250,5,19,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
98,x_j02_p250_s06,2,250,6,20,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
