var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW,source_file
9,x_j00_p250_s09,0,250,9,24,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_00_chosen_variables.csv
78,x_j01_p350_s11,1,350,11,24,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.3309624508055901,4.302511860472672,event_00_chosen_variables.csv
107,x_j02_p300_s04,2,300,4,16,12,153.65,178.7562091503268,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_00_chosen_variables.csv
153,x_j03_p250_s10,3,250,10,20,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_00_chosen_variables.csv
207,x_j04_p250_s00,4,250,0,13,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_00_chosen_variables.csv
345,x_j06_p350_s11,6,350,11,24,13,164.6,180.5612121212121,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_00_chosen_variables.csv
376,x_j07_p250_s16,7,250,16,24,8,92.91666666666669,118.9868105515588,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_00_chosen_variables.csv
466,x_j08_p400_s00,8,400,0,11,11,154.9,154.9,1.0,16,0.3675694379147809,5.881111006636495,event_00_chosen_variables.csv
546,x_j10_p300_s10,10,300,10,24,14,175.28333333333333,203.92440087145968,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_00_chosen_variables.csv
884,x_j16_p400_s00,16,400,0,10,10,136.21666666666667,136.21666666666667,1.0,17,0.3675694379147809,6.248680444551276,event_00_chosen_variables.csv
56,x_j01_p300_s00,1,300,0,14,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.2893304009205354,3.761295211966961,event_01_chosen_variables.csv
101,x_j02_p250_s09,2,250,9,23,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_01_chosen_variables.csv
147,x_j03_p250_s04,3,250,4,14,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_01_chosen_variables.csv
320,x_j06_p250_s08,6,250,8,23,15,164.6,210.7827338129497,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_01_chosen_variables.csv
430,x_j08_p250_s00,8,250,0,14,14,154.9,198.36115107913676,0.7808988764044943,16,0.2430791849170746,3.8892669586731934,event_01_chosen_variables.csv
559,x_j10_p400_s00,10,400,0,12,12,175.28333333333333,175.28333333333333,1.0,8,0.3675694379147809,2.9405555033182478,event_01_chosen_variables.csv
627,x_j12_p250_s00,12,250,0,9,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_01_chosen_variables.csv
795,x_j14_p400_s14,14,400,14,24,10,140.73333333333332,140.73333333333332,1.0,25,0.3675694379147809,9.189235947869523,event_01_chosen_variables.csv
854,x_j16_p250_s12,16,250,12,24,12,136.21666666666667,174.43573141486812,0.7808988764044943,17,0.2430791849170746,4.132346143590268,event_01_chosen_variables.csv
142,x_j02_p400_s13,2,400,13,24,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182478,event_02_chosen_variables.csv
208,x_j04_p250_s01,4,250,1,14,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_02_chosen_variables.csv
318,x_j06_p250_s06,6,250,6,21,15,164.6,210.7827338129497,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_02_chosen_variables.csv
430,x_j08_p250_s00,8,250,0,14,14,154.9,198.36115107913676,0.7808988764044943,16,0.2430791849170746,3.8892669586731934,event_02_chosen_variables.csv
547,x_j10_p350_s00,10,350,0,13,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_02_chosen_variables.csv
626,x_j11_p400_s14,11,400,14,24,10,141.3,141.3,1.0,13,0.3675694379147809,4.778402692892152,event_02_chosen_variables.csv
640,x_j12_p250_s13,12,250,13,22,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_02_chosen_variables.csv
716,x_j13_p350_s00,13,350,0,13,13,168.61666666666667,184.96737373737372,0.9116022099447514,18,0.3309624508055901,5.957324114500622,event_02_chosen_variables.csv
868,x_j16_p300_s13,16,300,13,24,11,136.21666666666667,158.47429193899782,0.8595505617977528,17,0.2893304009205354,4.918616815649102,event_02_chosen_variables.csv
92,x_j02_p250_s00,2,250,0,14,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_03_chosen_variables.csv
298,x_j05_p400_s00,5,400,0,11,11,154.35,154.35,1.0,11,0.3675694379147809,4.04326381706259,event_03_chosen_variables.csv
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182478,event_03_chosen_variables.csv
531,x_j10_p250_s05,10,250,5,20,15,175.28333333333333,224.46354916067148,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_03_chosen_variables.csv
598,x_j11_p350_s00,11,350,0,11,11,141.3,155.00181818181818,0.9116022099447514,13,0.3309624508055901,4.302511860472672,event_03_chosen_variables.csv
641,x_j12_p250_s14,12,250,14,23,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_03_chosen_variables.csv
931,x_j17_p350_s11,17,350,11,24,13,168.06666666666666,184.3640404040404,0.9116022099447514,36,0.3309624508055901,11.914648229001244,event_03_chosen_variables.csv
54,x_j01_p250_s08,1,250,8,23,15,169.76666666666668,217.3990407673861,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_04_chosen_variables.csv
99,x_j02_p250_s07,2,250,7,21,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_04_chosen_variables.csv
231,x_j04_p300_s12,4,300,12,24,12,144.71666666666667,168.3631808278867,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_04_chosen_variables.csv
360,x_j07_p250_s00,7,250,0,8,8,92.91666666666669,118.9868105515588,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_04_chosen_variables.csv
501,x_j09_p350_s00,9,350,0,13,13,175.51666666666668,192.53646464646465,0.9116022099447514,16,0.3309624508055901,5.295399212889442,event_04_chosen_variables.csv
572,x_j11_p250_s00,11,250,0,13,13,141.3,180.94532374100723,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_04_chosen_variables.csv
642,x_j12_p250_s15,12,250,15,24,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_04_chosen_variables.csv
780,x_j14_p350_s13,14,350,13,24,11,140.73333333333332,154.380202020202,0.9116022099447514,25,0.3309624508055901,8.274061270139752,event_04_chosen_variables.csv
18,x_j00_p300_s08,0,300,8,22,14,171.85,199.9300653594771,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_05_chosen_variables.csv
67,x_j01_p350_s00,1,350,0,13,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.3309624508055901,4.302511860472672,event_05_chosen_variables.csv
115,x_j02_p300_s12,2,300,12,24,12,153.65,178.7562091503268,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_05_chosen_variables.csv
189,x_j03_p350_s15,3,350,15,24,9,109.78333333333332,120.42898989898988,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_05_chosen_variables.csv
311,x_j05_p400_s13,5,400,13,24,11,154.35,154.35,1.0,11,0.3675694379147809,4.04326381706259,event_05_chosen_variables.csv
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182478,event_05_chosen_variables.csv
377,x_j07_p300_s00,7,300,0,8,8,92.91666666666669,108.09912854030505,0.8595505617977528,13,0.2893304009205354,3.761295211966961,event_05_chosen_variables.csv
526,x_j10_p250_s00,10,250,0,15,15,175.28333333333333,224.46354916067148,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_05_chosen_variables.csv
583,x_j11_p250_s11,11,250,11,24,13,141.3,180.94532374100723,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_05_chosen_variables.csv
635,x_j12_p250_s08,12,250,8,17,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_05_chosen_variables.csv
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.3990407673861,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_06_chosen_variables.csv
142,x_j02_p400_s13,2,400,13,24,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182478,event_06_chosen_variables.csv
158,x_j03_p300_s00,3,300,0,9,9,109.78333333333332,127.7217864923747,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_06_chosen_variables.csv
209,x_j04_p250_s02,4,250,2,15,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_06_chosen_variables.csv
334,x_j06_p350_s00,6,350,0,13,13,164.6,180.5612121212121,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_06_chosen_variables.csv
375,x_j07_p250_s15,7,250,15,23,8,92.91666666666669,118.9868105515588,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_06_chosen_variables.csv
479,x_j08_p400_s13,8,400,13,24,11,154.9,154.9,1.0,16,0.3675694379147809,5.881111006636495,event_06_chosen_variables.csv
741,x_j14_p250_s00,14,250,0,13,13,140.73333333333332,180.21966426858515,0.7808988764044943,25,0.2430791849170746,6.076979622926864,event_06_chosen_variables.csv
7,x_j00_p250_s07,0,250,7,22,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_07_chosen_variables.csv
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.3990407673861,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_07_chosen_variables.csv
98,x_j02_p250_s06,2,250,6,20,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_07_chosen_variables.csv
158,x_j03_p300_s00,3,300,0,9,9,109.78333333333332,127.7217864923747,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_07_chosen_variables.csv
297,x_j05_p350_s12,5,350,12,24,12,154.35,169.31727272727272,0.9116022099447514,11,0.3309624508055901,3.6405869588614914,event_07_chosen_variables.csv
440,x_j08_p250_s10,8,250,10,24,14,154.9,198.36115107913676,0.7808988764044943,16,0.2430791849170746,3.8892669586731934,event_07_chosen_variables.csv
559,x_j10_p400_s00,10,400,0,12,12,175.28333333333333,175.28333333333333,1.0,8,0.3675694379147809,2.9405555033182478,event_07_chosen_variables.csv
612,x_j11_p400_s00,11,400,0,10,10,141.3,141.3,1.0,13,0.3675694379147809,4.778402692892152,event_07_chosen_variables.csv
653,x_j12_p300_s10,12,300,10,18,8,101.81666666666666,118.45337690631808,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_07_chosen_variables.csv
9,x_j00_p250_s09,0,250,9,24,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_08_chosen_variables.csv
92,x_j02_p250_s00,2,250,0,14,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_08_chosen_variables.csv
143,x_j03_p250_s00,3,250,0,10,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_08_chosen_variables.csv
298,x_j05_p400_s00,5,400,0,11,11,154.35,154.35,1.0,11,0.3675694379147809,4.04326381706259,event_08_chosen_variables.csv
316,x_j06_p250_s04,6,250,4,19,15,164.6,210.7827338129497,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_08_chosen_variables.csv
452,x_j08_p300_s11,8,300,11,24,13,154.9,180.2104575163399,0.8595505617977528,16,0.2893304009205354,4.629286414728567,event_08_chosen_variables.csv
547,x_j10_p350_s00,10,350,0,13,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_08_chosen_variables.csv
597,x_j11_p300_s13,11,300,13,24,11,141.3,164.38823529411766,0.8595505617977528,13,0.2893304009205354,3.761295211966961,event_08_chosen_variables.csv
641,x_j12_p250_s14,12,250,14,23,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_08_chosen_variables.csv
206,x_j03_p400_s16,3,400,16,24,8,109.78333333333332,109.78333333333332,1.0,8,0.3675694379147809,2.9405555033182478,event_09_chosen_variables.csv
245,x_j04_p350_s13,4,350,13,24,11,144.71666666666667,158.749797979798,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_09_chosen_variables.csv
297,x_j05_p350_s12,5,350,12,24,12,154.35,169.31727272727272,0.9116022099447514,11,0.3309624508055901,3.6405869588614914,event_09_chosen_variables.csv
359,x_j06_p400_s13,6,400,13,24,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182478,event_09_chosen_variables.csv
368,x_j07_p250_s08,7,250,8,16,8,92.91666666666669,118.9868105515588,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_09_chosen_variables.csv
559,x_j10_p400_s00,10,400,0,12,12,175.28333333333333,175.28333333333333,1.0,8,0.3675694379147809,2.9405555033182478,event_09_chosen_variables.csv
660,x_j12_p350_s00,12,350,0,8,8,101.81666666666666,111.68979797979796,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_09_chosen_variables.csv
741,x_j14_p250_s00,14,250,0,13,13,140.73333333333332,180.21966426858515,0.7808988764044943,25,0.2430791849170746,6.076979622926864,event_09_chosen_variables.csv
