var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
9,x_j00_p250_s09,0,250,9,24,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
78,x_j01_p350_s11,1,350,11,24,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.3309624508055901,4.302511860472672
107,x_j02_p300_s04,2,300,4,16,12,153.65,178.7562091503268,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
153,x_j03_p250_s10,3,250,10,20,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
207,x_j04_p250_s00,4,250,0,13,13,144.71666666666667,185.32062350119907,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
345,x_j06_p350_s11,6,350,11,24,13,164.6,180.56121212121212,0.9116022099447514,8,0.3309624508055901,2.647699606444721
376,x_j07_p250_s16,7,250,16,24,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
466,x_j08_p400_s00,8,400,0,11,11,154.9,154.9,1.0,16,0.3675694379147809,5.881111006636495
546,x_j10_p300_s10,10,300,10,24,14,175.28333333333333,203.92440087145968,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
884,x_j16_p400_s00,16,400,0,10,10,136.21666666666667,136.21666666666667,1.0,17,0.3675694379147809,6.248680444551276
