test,direct,qubo,abs_error
0,445.2450302698203,445.2450302698206,2.8421709430404007e-13
1,132.85886989912012,132.85886989912018,5.684341886080802e-14
2,107.37944178536885,107.37944178536887,1.4210854715202004e-14
3,317.89208432044654,317.8920843204466,5.684341886080802e-14
4,72.45552456245619,72.4555245624562,1.4210854715202004e-14
5,658.7262047193472,658.7262047193473,1.1368683772161603e-13
6,497.3193269387616,497.3193269387618,1.7053025658242404e-13
7,412.70598621409914,412.7059862140993,1.7053025658242404e-13
8,741.8000127926077,741.8000127926083,5.684341886080801e-13
9,279.80999535458784,279.8099953545879,5.684341886080802e-14
10,934.5180987953805,934.5180987953805,0.0
11,221.21958487618835,221.2195848761883,5.684341886080802e-14
