var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
18,x_j00_p300_s08,0,300,8,22,14,171.85,199.9300653594771,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
67,x_j01_p350_s00,1,350,0,13,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.3309624508055901,4.302511860472672
115,x_j02_p300_s12,2,300,12,24,12,153.65,178.7562091503268,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
189,x_j03_p350_s15,3,350,15,24,9,109.78333333333332,120.42898989898988,0.9116022099447514,8,0.3309624508055901,2.647699606444721
311,x_j05_p400_s13,5,400,13,24,11,154.35,154.35,1.0,11,0.3675694379147809,4.04326381706259
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182473
377,x_j07_p300_s00,7,300,0,8,8,92.91666666666669,108.09912854030503,0.8595505617977528,13,0.2893304009205354,3.7612952119669605
526,x_j10_p250_s00,10,250,0,15,15,175.28333333333333,224.46354916067148,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
583,x_j11_p250_s11,11,250,11,24,13,141.3,180.94532374100723,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
635,x_j12_p250_s08,12,250,8,17,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
