event_id,start,end,raw_curtailment_MWh,mean_curtailment_MW,max_curtailment_MW,min_curtailment_MW,fraction_positive,time_limit_s,qubo_variables,qubo_edges,portfolio_seed,target_fraction
0,2025-05-18 10:30:00,2025-05-18 16:15:00,52412.13831244853,8735.356385408088,9703.922607368286,7603.79445414655,1.0,30.0,962,168823,99,0.8
1,2025-03-18 11:15:00,2025-03-18 17:00:00,52128.13620848451,8688.022701414084,10455.0916491569,6753.784413836084,1.0,30.0,962,168823,99,0.8
2,2025-03-29 10:15:00,2025-03-29 16:00:00,51534.12271311612,8589.020452186021,9537.06112408687,7160.735733174806,1.0,30.0,962,168823,99,0.8
3,2025-04-05 10:15:00,2025-04-05 16:00:00,48967.32823557053,8161.221372595089,9132.95294414909,7022.721348192196,1.0,30.0,962,168823,99,0.8
4,2025-03-15 11:15:00,2025-03-15 17:00:00,48444.13628012589,8074.022713354316,9968.503121476237,6166.478643664494,1.0,30.0,962,168823,99,0.8
5,2025-03-20 11:00:00,2025-03-20 16:45:00,47229.90546561899,7871.6509109365,9351.780380986054,6519.142495462359,1.0,30.0,962,168823,99,0.8
6,2025-03-09 10:45:00,2025-03-09 16:30:00,45646.921753980096,7607.820292330016,9018.55328235548,6298.347144869566,1.0,30.0,962,168823,99,0.8
7,2025-04-20 10:30:00,2025-04-20 16:15:00,44339.96678659293,7389.994464432155,9345.964717770838,5352.268262036257,1.0,30.0,962,168823,99,0.8
8,2025-04-19 10:30:00,2025-04-19 16:15:00,42273.36917589121,7045.561529315203,8337.392674904835,5667.077878097959,1.0,30.0,962,168823,99,0.8
9,2025-04-06 10:15:00,2025-04-06 16:00:00,40604.67806999409,6767.446344999014,7164.121782215637,6055.267734320833,1.0,30.0,962,168823,99,0.8
10,2025-03-08 09:45:00,2025-03-08 15:30:00,40295.52763506008,6715.921272510012,8182.416422635841,5277.668017052103,1.0,30.0,962,168823,99,0.8
11,2025-02-23 09:45:00,2025-02-23 15:30:00,39927.50400635452,6654.584001059086,7758.935079144913,5593.68793848642,1.0,30.0,962,168823,99,0.8
12,2025-03-22 09:30:00,2025-03-22 15:15:00,39720.79616095327,6620.132693492212,7496.714687771263,5106.94031038757,1.0,30.0,962,168823,99,0.8
13,2025-03-23 10:30:00,2025-03-23 16:15:00,38682.20431744248,6447.034052907079,6917.817578771005,5990.584969670806,1.0,30.0,962,168823,99,0.8
14,2025-03-30 11:15:00,2025-03-30 17:00:00,34147.84424470782,5691.30737411797,7214.077389215766,3171.9018085988178,1.0,30.0,962,168823,99,0.8
15,2025-03-27 11:30:00,2025-03-27 17:15:00,33873.56289030416,5645.593815050695,7087.874233236137,3130.2124282404334,1.0,30.0,962,168823,99,0.8
16,2025-03-10 11:00:00,2025-03-10 16:45:00,33750.34002782896,5625.056671304827,6479.212310715407,4100.246808728293,1.0,30.0,962,168823,99,0.8
17,2025-02-22 09:45:00,2025-02-22 15:30:00,33302.46266015481,5550.410443359135,6864.613922545516,4479.620056248733,1.0,30.0,962,168823,99,0.8
18,2025-02-02 09:45:00,2025-02-02 15:30:00,32190.32045534481,5365.053409224135,6816.290397223866,3677.880783218567,1.0,30.0,962,168823,99,0.8
19,2025-02-25 10:15:00,2025-02-25 16:00:00,30999.059381491832,5166.509896915305,6243.799138165844,4082.257721491047,1.0,30.0,962,168823,99,0.8
