test,direct,qubo,abs_error
0,632.0639998508785,632.0639998508791,5.684341886080801e-13
1,903.7364444375584,903.736444437559,6.821210263296962e-13
2,962.9987847109262,962.9987847109263,1.1368683772161603e-13
3,1022.0036282032188,1022.0036282032195,6.821210263296962e-13
4,813.4534638078311,813.4534638078313,2.2737367544323206e-13
5,1260.9712545214884,1260.9712545214884,0.0
6,1023.6928776445717,1023.692877644573,1.2505552149377763e-12
7,813.2577996066282,813.2577996066284,2.2737367544323206e-13
8,661.84709790221,661.84709790221,0.0
9,752.5895111189373,752.5895111189375,2.2737367544323206e-13
