var_index,var_name,portfolio_job_id,start_slot,end_slot_exclusive,duration_slots,total_gpus,gpu_power_kW
0,x_j00_s00,0,0,6,6,12,4.800000000000001
1,x_j00_s01,0,1,7,6,12,4.800000000000001
2,x_j00_s02,0,2,8,6,12,4.800000000000001
3,x_j00_s03,0,3,9,6,12,4.800000000000001
4,x_j00_s04,0,4,10,6,12,4.800000000000001
5,x_j00_s05,0,5,11,6,12,4.800000000000001
6,x_j00_s06,0,6,12,6,12,4.800000000000001
7,x_j00_s07,0,7,13,6,12,4.800000000000001
8,x_j00_s08,0,8,14,6,12,4.800000000000001
9,x_j00_s09,0,9,15,6,12,4.800000000000001
10,x_j00_s10,0,10,16,6,12,4.800000000000001
11,x_j00_s11,0,11,17,6,12,4.800000000000001
12,x_j00_s12,0,12,18,6,12,4.800000000000001
13,x_j00_s13,0,13,19,6,12,4.800000000000001
14,x_j00_s14,0,14,20,6,12,4.800000000000001
15,x_j00_s15,0,15,21,6,12,4.800000000000001
16,x_j00_s16,0,16,22,6,12,4.800000000000001
17,x_j00_s17,0,17,23,6,12,4.800000000000001
18,x_j00_s18,0,18,24,6,12,4.800000000000001
19,x_j01_s00,1,0,2,2,8,3.2
20,x_j01_s01,1,1,3,2,8,3.2
21,x_j01_s02,1,2,4,2,8,3.2
22,x_j01_s03,1,3,5,2,8,3.2
23,x_j01_s04,1,4,6,2,8,3.2
24,x_j01_s05,1,5,7,2,8,3.2
25,x_j01_s06,1,6,8,2,8,3.2
26,x_j01_s07,1,7,9,2,8,3.2
27,x_j01_s08,1,8,10,2,8,3.2
28,x_j01_s09,1,9,11,2,8,3.2
29,x_j01_s10,1,10,12,2,8,3.2
30,x_j01_s11,1,11,13,2,8,3.2
31,x_j01_s12,1,12,14,2,8,3.2
32,x_j01_s13,1,13,15,2,8,3.2
33,x_j01_s14,1,14,16,2,8,3.2
34,x_j01_s15,1,15,17,2,8,3.2
35,x_j01_s16,1,16,18,2,8,3.2
36,x_j01_s17,1,17,19,2,8,3.2
37,x_j01_s18,1,18,20,2,8,3.2
38,x_j01_s19,1,19,21,2,8,3.2
39,x_j01_s20,1,20,22,2,8,3.2
40,x_j01_s21,1,21,23,2,8,3.2
41,x_j01_s22,1,22,24,2,8,3.2
42,x_j02_s00,2,0,2,2,8,3.2
43,x_j02_s01,2,1,3,2,8,3.2
44,x_j02_s02,2,2,4,2,8,3.2
45,x_j02_s03,2,3,5,2,8,3.2
46,x_j02_s04,2,4,6,2,8,3.2
47,x_j02_s05,2,5,7,2,8,3.2
48,x_j02_s06,2,6,8,2,8,3.2
49,x_j02_s07,2,7,9,2,8,3.2
50,x_j02_s08,2,8,10,2,8,3.2
51,x_j02_s09,2,9,11,2,8,3.2
52,x_j02_s10,2,10,12,2,8,3.2
53,x_j02_s11,2,11,13,2,8,3.2
54,x_j02_s12,2,12,14,2,8,3.2
55,x_j02_s13,2,13,15,2,8,3.2
56,x_j02_s14,2,14,16,2,8,3.2
57,x_j02_s15,2,15,17,2,8,3.2
58,x_j02_s16,2,16,18,2,8,3.2
59,x_j02_s17,2,17,19,2,8,3.2
60,x_j02_s18,2,18,20,2,8,3.2
61,x_j02_s19,2,19,21,2,8,3.2
62,x_j02_s20,2,20,22,2,8,3.2
63,x_j02_s21,2,21,23,2,8,3.2
64,x_j02_s22,2,22,24,2,8,3.2
65,x_j03_s00,3,0,7,7,8,3.2
66,x_j03_s01,3,1,8,7,8,3.2
67,x_j03_s02,3,2,9,7,8,3.2
68,x_j03_s03,3,3,10,7,8,3.2
69,x_j03_s04,3,4,11,7,8,3.2
70,x_j03_s05,3,5,12,7,8,3.2
71,x_j03_s06,3,6,13,7,8,3.2
72,x_j03_s07,3,7,14,7,8,3.2
73,x_j03_s08,3,8,15,7,8,3.2
74,x_j03_s09,3,9,16,7,8,3.2
75,x_j03_s10,3,10,17,7,8,3.2
76,x_j03_s11,3,11,18,7,8,3.2
77,x_j03_s12,3,12,19,7,8,3.2
78,x_j03_s13,3,13,20,7,8,3.2
79,x_j03_s14,3,14,21,7,8,3.2
80,x_j03_s15,3,15,22,7,8,3.2
81,x_j03_s16,3,16,23,7,8,3.2
82,x_j03_s17,3,17,24,7,8,3.2
83,x_j04_s00,4,0,11,11,8,3.2
84,x_j04_s01,4,1,12,11,8,3.2
85,x_j04_s02,4,2,13,11,8,3.2
86,x_j04_s03,4,3,14,11,8,3.2
87,x_j04_s04,4,4,15,11,8,3.2
88,x_j04_s05,4,5,16,11,8,3.2
89,x_j04_s06,4,6,17,11,8,3.2
90,x_j04_s07,4,7,18,11,8,3.2
91,x_j04_s08,4,8,19,11,8,3.2
92,x_j04_s09,4,9,20,11,8,3.2
93,x_j04_s10,4,10,21,11,8,3.2
94,x_j04_s11,4,11,22,11,8,3.2
95,x_j04_s12,4,12,23,11,8,3.2
96,x_j04_s13,4,13,24,11,8,3.2
97,x_j05_s00,5,0,6,6,8,3.2
98,x_j05_s01,5,1,7,6,8,3.2
99,x_j05_s02,5,2,8,6,8,3.2
100,x_j05_s03,5,3,9,6,8,3.2
101,x_j05_s04,5,4,10,6,8,3.2
102,x_j05_s05,5,5,11,6,8,3.2
103,x_j05_s06,5,6,12,6,8,3.2
104,x_j05_s07,5,7,13,6,8,3.2
105,x_j05_s08,5,8,14,6,8,3.2
106,x_j05_s09,5,9,15,6,8,3.2
107,x_j05_s10,5,10,16,6,8,3.2
108,x_j05_s11,5,11,17,6,8,3.2
109,x_j05_s12,5,12,18,6,8,3.2
110,x_j05_s13,5,13,19,6,8,3.2
111,x_j05_s14,5,14,20,6,8,3.2
112,x_j05_s15,5,15,21,6,8,3.2
113,x_j05_s16,5,16,22,6,8,3.2
114,x_j05_s17,5,17,23,6,8,3.2
115,x_j05_s18,5,18,24,6,8,3.2
116,x_j06_s00,6,0,3,3,13,5.2
117,x_j06_s01,6,1,4,3,13,5.2
118,x_j06_s02,6,2,5,3,13,5.2
119,x_j06_s03,6,3,6,3,13,5.2
120,x_j06_s04,6,4,7,3,13,5.2
121,x_j06_s05,6,5,8,3,13,5.2
122,x_j06_s06,6,6,9,3,13,5.2
123,x_j06_s07,6,7,10,3,13,5.2
124,x_j06_s08,6,8,11,3,13,5.2
125,x_j06_s09,6,9,12,3,13,5.2
126,x_j06_s10,6,10,13,3,13,5.2
127,x_j06_s11,6,11,14,3,13,5.2
128,x_j06_s12,6,12,15,3,13,5.2
129,x_j06_s13,6,13,16,3,13,5.2
130,x_j06_s14,6,14,17,3,13,5.2
131,x_j06_s15,6,15,18,3,13,5.2
132,x_j06_s16,6,16,19,3,13,5.2
133,x_j06_s17,6,17,20,3,13,5.2
134,x_j06_s18,6,18,21,3,13,5.2
135,x_j06_s19,6,19,22,3,13,5.2
136,x_j06_s20,6,20,23,3,13,5.2
137,x_j06_s21,6,21,24,3,13,5.2
138,x_j07_s00,7,0,5,5,8,3.2
139,x_j07_s01,7,1,6,5,8,3.2
140,x_j07_s02,7,2,7,5,8,3.2
141,x_j07_s03,7,3,8,5,8,3.2
142,x_j07_s04,7,4,9,5,8,3.2
143,x_j07_s05,7,5,10,5,8,3.2
144,x_j07_s06,7,6,11,5,8,3.2
145,x_j07_s07,7,7,12,5,8,3.2
146,x_j07_s08,7,8,13,5,8,3.2
147,x_j07_s09,7,9,14,5,8,3.2
148,x_j07_s10,7,10,15,5,8,3.2
149,x_j07_s11,7,11,16,5,8,3.2
150,x_j07_s12,7,12,17,5,8,3.2
151,x_j07_s13,7,13,18,5,8,3.2
152,x_j07_s14,7,14,19,5,8,3.2
153,x_j07_s15,7,15,20,5,8,3.2
154,x_j07_s16,7,16,21,5,8,3.2
155,x_j07_s17,7,17,22,5,8,3.2
