Workload,GPU power cap,throughput,total GPU power,normalized throughput,power per GPU
ft_llama_8b_dolly,100,0.0475,4792.939522291668,0.24084507042253522,99.85290671440976
ft_llama_8b_dolly,200,0.15916666666666668,9413.705795640573,0.8070422535211268,196.11887074251194
ft_llama_8b_dolly,250,0.17833333333333334,11717.81847624021,0.9042253521126762,244.12121825500438
ft_llama_8b_dolly,300,0.1875,13838.590932728483,0.9507042253521127,288.30397776517674
ft_llama_8b_dolly,350,0.19333333333333333,15389.636933403144,0.9802816901408451,320.6174361125655
ft_llama_8b_dolly,400,0.19722222222222222,16591.102249721203,1.0,345.6479635358584
ft_llama_8b_p3,100,0.08916666666666667,3203.7017627083305,0.22798295454545456,100.11568008463533
ft_llama_8b_p3,200,0.30666666666666664,6251.972386683319,0.784090909090909,195.37413708385373
ft_llama_8b_p3,250,0.3433333333333333,7674.365412063491,0.8778409090909091,239.8239191269841
ft_llama_8b_p3,300,0.36666666666666664,9137.333251534394,0.9374999999999999,285.5416641104498
ft_llama_8b_p3,350,0.37833333333333335,10146.436982875348,0.9673295454545454,317.0761557148546
ft_llama_8b_p3,400,0.39111111111111113,10987.565047440803,1.0,343.3614077325251
infer_llama_8b_48g,100,0.045,4701.0,0.2252252252252252,97.9375
infer_llama_8b_48g,200,0.156,9342.0,0.7807807807807807,194.625
infer_llama_8b_48g,250,0.174,11604.0,0.8708708708708708,241.75
infer_llama_8b_48g,300,0.186,13869.0,0.9309309309309309,288.9375
infer_llama_8b_48g,350,0.195,15978.0,0.975975975975976,332.875
infer_llama_8b_48g,400,0.1998,17682.0,1.0,368.375
infer_llama_8b_32g,100,0.03,3134.0,0.2252252252252252,97.9375
infer_llama_8b_32g,200,0.104,6228.0,0.7807807807807806,194.625
infer_llama_8b_32g,250,0.116,7736.0,0.8708708708708708,241.75
infer_llama_8b_32g,300,0.124,9246.0,0.9309309309309308,288.9375
infer_llama_8b_32g,350,0.13,10652.0,0.975975975975976,332.875
infer_llama_8b_32g,400,0.1332,11788.0,1.0,368.375
infer_llama_8b,100,0.015,1567.0923308333336,0.2252252252252252,97.94327067708335
infer_llama_8b,200,0.052,3114.9362441666667,0.7807807807807806,194.68351526041667
infer_llama_8b,250,0.058,3868.809954166667,0.8708708708708708,241.8006221354167
infer_llama_8b,300,0.062,4623.4406825,0.9309309309309308,288.96504265625
infer_llama_8b,350,0.065,5326.490404166667,0.975975975975976,332.9056502604167
infer_llama_8b,400,0.0666,5894.0,1.0,368.375
pt_mpt_13b_lg,100,0.028333333333333332,6510.9826729912365,0.19101123595505615,101.73410426548807
pt_mpt_13b_lg,200,0.0925,12555.701635485568,0.6235955056179775,196.182838054462
pt_mpt_13b_lg,250,0.11583333333333333,15663.565455550566,0.7808988764044943,244.7432102429776
pt_mpt_13b_lg,300,0.1275,18633.10380029436,0.8595505617977528,291.1422468795994
pt_mpt_13b_lg,350,0.13666666666666666,21574.364228080565,0.9213483146067415,337.09944106375883
pt_mpt_13b_lg,400,0.14833333333333334,24431.952661091458,1.0,381.74926032955403
pt_mpt_13b_sm,100,0.03833333333333333,4939.600236036062,0.19060773480662982,102.90833825075129
pt_mpt_13b_sm,200,0.12833333333333333,9380.225420942399,0.638121546961326,195.42136293629997
pt_mpt_13b_sm,250,0.1575,11672.578096516905,0.7831491712707183,243.1787103441022
pt_mpt_13b_sm,300,0.17416666666666666,13780.983857957515,0.8660220994475138,287.1038303741149
pt_mpt_13b_sm,350,0.18333333333333332,15886.354930909383,0.9116022099447514,330.9657277272788
pt_mpt_13b_sm,400,0.2011111111111111,18087.610526185956,1.0,376.82521929554076
pt_mpt_7b_fast,100,0.021666666666666667,4798.892388958336,0.17488789237668162,99.97692476996532
pt_mpt_7b_fast,200,0.0775,9524.38847779004,0.6255605381165918,198.42475995395918
pt_mpt_7b_fast,250,0.0975,11878.358363141364,0.7869955156950672,247.46579923211175
pt_mpt_7b_fast,300,0.10833333333333334,14194.149387777237,0.874439461883408,295.71144557869246
pt_mpt_7b_fast,350,0.11583333333333333,16477.689387160648,0.9349775784753362,343.28519556584683
pt_mpt_7b_fast,400,0.1238888888888889,18616.639316388893,1.0,387.8466524247686
